,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
8109,20346,27,M,0.0,89,32974,1,0,Rent,80027,9/6/2016,Tuesday,Parking Lot,0,0.0,50,Online,1,3142.059643,7.0,Large,22471.97809,silver,20485.26252
7612,19151,40,M,1.0,91,36875,1,0,Rent,85004,2/3/2015,Tuesday,Local,0,0.0,18,Broker,0,7651.403215,6.0,Large,41064.95972,silver,28831.69655
10373,25979,25,F,1.0,81,32195,1,1,Rent,85073,3/1/2015,Sunday,Local,1,1.0,81,Online,0,2213.199445,7.0,Medium,26855.03543,blue,8325.57665
890,2249,53,M,0.0,93,39707,1,1,Own,50057,6/9/2016,Thursday,Local,0,0.0,3,Broker,0,7046.245295999999,3.0,Compact,36681.3701,other,24473.91912
10866,27182,37,F,1.0,91,36112,1,0,Own,50052,2/13/2015,Friday,Local,0,0.0,95,Phone,0,4022.794388,3.0,Compact,16411.94167,gray,21900.03775
1328,3321,27,M,1.0,91,32971,1,0,Rent,80005,2/23/2016,Tuesday,Highway,0,1.0,49,Online,1,4383.380775,6.0,Compact,33719.45876,gray,41828.366460000005
5941,14900,39,M,1.0,71,36639,1,1,Own,20135,3/16/2015,Monday,Parking Lot,0,0.0,100,Broker,0,7786.184862999999,6.0,Large,9766.765853,silver,17453.25111
7569,19038,37,F,1.0,61,36117,0,0,Rent,50006,1/31/2015,Saturday,Local,0,0.0,53,Broker,0,5503.958073,10.0,Compact,10767.50996,other,25020.91334
172,423,25,M,1.0,43,32184,1,0,Rent,20124,11/7/2016,Monday,Local,0,0.0,66,Online,1,3822.847919,4.0,Large,14034.02655,blue,13846.02033
8679,21758,31,F,0.0,79,34331,1,1,Rent,20134,6/19/2016,Sunday,Highway,0,1.0,100,Online,0,4115.467485,11.0,Medium,19253.35167,red,39078.87903
1240,3129,36,F,1.0,84,35833,0,0,Rent,80038,5/3/2016,Tuesday,Local,0,1.0,50,Broker,1,5395.292945,3.0,Large,34287.46829,silver,36119.93082
5085,12800,41,F,1.0,41,37130,1,1,Own,80016,11/12/2016,Saturday,Parking Lot,0,0.0,49,Phone,1,9653.072486,8.0,Medium,12108.1521,silver,43503.29809
1205,3030,53,F,0.0,20,39709,0,1,Own,15019,1/4/2015,Sunday,Parking Lot,0,0.0,80,Phone,0,8503.876875,12.0,Large,12111.96795,black,17293.77544
5388,13550,30,F,1.0,66,34010,0,1,Rent,20116,3/8/2015,Sunday,Highway,0,0.0,98,Phone,0,3880.306831,1.0,Large,23291.32618,blue,48974.97635
8582,21502,58,F,1.0,90,40609,1,0,Own,50011,7/10/2016,Sunday,Parking Lot,1,1.0,18,Phone,1,4055.213623,4.0,Large,5985.45159,other,14458.59314
10896,27245,56,F,1.0,79,40247,1,1,Own,50042,1/21/2015,Wednesday,Highway,0,0.0,77,Broker,1,4035.826606,7.0,Medium,44007.86491,silver,35841.33126
1425,3562,45,M,1.0,90,38081,1,1,Rent,85066,3/8/2015,Sunday,Local,3,0.0,50,Broker,1,4973.807911,3.0,Medium,7203.982824,blue,19115.54164
2290,5733,67,F,1.0,50,42039,0,1,Own,15010,9/29/2015,Tuesday,Parking Lot,0,1.0,55,Broker,0,5047.145808,4.0,Large,52387.94927,white,34770.359710000004
9960,24957,40,F,1.0,74,36893,1,0,Own,85007,8/15/2016,Monday,Parking Lot,0,0.0,58,Broker,1,9022.964628,5.0,Large,10904.40132,black,23577.28338
11073,27641,40,F,1.0,49,36875,0,1,Own,85077,10/4/2016,Tuesday,Local,0,0.0,50,Broker,0,5722.872878,7.0,Large,13156.20006,silver,17025.314019999998
11761,29366,33,M,1.0,64,34961,1,0,Own,20116,9/5/2016,Monday,Local,1,0.0,17,Broker,0,1563.124893,9.0,Medium,18895.21877,white,31433.29631
11327,28292,48,M,0.0,75,38695,0,1,Rent,20104,12/17/2016,Saturday,Parking Lot,0,0.0,79,Broker,0,4588.831961999999,9.0,Large,25145.92319,other,23818.099680000003
5664,14250,34,M,0.0,81,35253,1,0,Own,85041,10/15/2016,Saturday,Local,0,0.0,16,Phone,0,5080.443419,4.0,Compact,15849.62563,blue,16041.16053
3357,8481,32,M,0.0,89,34635,1,0,Own,20124,5/13/2016,Friday,Highway,0,0.0,99,Broker,1,3969.782778,6.0,Large,25856.49194,blue,22754.44087
8986,22516,36,M,0.0,19,35847,0,0,Own,80003,3/8/2015,Sunday,Local,0,0.0,42,Broker,0,5547.014763,4.0,Medium,15674.37999,white,8498.493036
11951,29899,31,M,1.0,69,34339,1,1,Rent,85042,1/9/2015,Friday,Local,0,0.0,35,Online,0,3656.19006,6.0,Compact,50069.03069,silver,15799.393869999998
4004,10118,37,M,0.0,73,36117,1,1,Own,20158,5/8/2016,Sunday,Local,1,0.0,0,Broker,1,3043.798136,5.0,Compact,23132.77875,blue,40166.01629
2805,7019,47,M,0.0,78,38502,0,1,Rent,15001,11/8/2015,Sunday,Local,0,1.0,28,Phone,0,5701.783572,4.0,Medium,12105.21097,white,26203.72201
7753,19452,42,F,1.0,92,37367,0,1,Rent,15012,8/15/2016,Monday,Parking Lot,0,0.0,49,Broker,1,3225.33413,1.0,Medium,18130.72847,silver,38006.27791
5053,12701,54,M,1.0,76,39874,1,0,Own,85010,12/20/2016,Tuesday,Highway,0,1.0,27,Phone,1,7386.913069,3.0,Large,14149.75136,white,22176.98249
9338,23445,21,F,0.0,84,30446,0,1,Rent,50054,7/14/2015,Tuesday,Highway,1,0.0,45,Online,0,6905.113011,5.0,Medium,34873.6526,red,44306.87734
7662,19265,23,F,1.0,89,31352,1,1,Rent,80030,10/22/2015,Thursday,Highway,1,0.0,49,Online,0,5257.934847,7.0,Medium,48428.5735,other,12458.21867
10837,27104,60,F,1.0,81,40935,1,0,Rent,15001,12/25/2016,Sunday,Local,0,0.0,81,Broker,0,4801.342022,3.0,Medium,19797.57517,gray,37607.85737
11083,27657,53,M,1.0,61,39700,0,0,Own,20143,9/17/2015,Thursday,Highway,0,1.0,43,Phone,0,1354.485548,3.0,Large,51666.52229,red,10512.69236
1056,2666,33,M,0.0,87,34971,1,1,Own,50011,3/28/2016,Monday,Local,1,0.0,1,Broker,1,2325.451,4.0,Large,14407.75485,blue,22686.11602
3095,7800,41,M,1.0,78,37158,1,0,Own,85045,9/21/2015,Monday,Parking Lot,0,0.0,57,Broker,1,4534.44028,1.0,Compact,8548.467449,white,24164.37939
184,459,35,F,1.0,68,35546,1,1,Own,50002,12/30/2015,Wednesday,Local,0,1.0,83,Phone,0,2018.040967,7.0,Large,31524.63393,white,10721.7675
9608,24082,50,F,1.0,81,39110,1,0,Own,80034,10/20/2016,Thursday,Parking Lot,0,0.0,51,Broker,0,2226.6210140000003,3.0,Compact,18202.32335,silver,13777.52734
10587,26485,23,M,0.0,66,31357,1,1,Rent,50021,9/18/2016,Sunday,Parking Lot,1,1.0,13,Online,1,8791.792893,5.0,Large,45667.59782,white,13846.22779
9652,24208,23,F,1.0,82,31347,1,1,Rent,85038,1/4/2015,Sunday,Local,0,0.0,65,Online,0,6210.604059,4.0,Medium,28636.094210000003,black,29332.0435
714,1830,42,F,0.0,80,37360,1,1,Own,80012,11/4/2015,Wednesday,Local,0,0.0,5,Broker,1,6593.17398,3.0,Large,24749.07409,black,29897.21449
563,1441,44,M,0.0,78,37840,1,0,Own,80011,12/18/2016,Sunday,Local,0,1.0,27,Broker,1,4518.3448530000005,7.0,Compact,12728.98023,red,64944.96946
240,590,31,F,1.0,76,34343,1,0,Rent,50025,7/28/2015,Tuesday,Local,0,0.0,49,Broker,1,5235.38083,3.0,Large,22335.47918,silver,32187.35086
5806,14585,38,F,1.0,74,36395,0,1,Rent,20116,1/18/2016,Monday,Parking Lot,2,0.0,16,Broker,0,1604.910242,9.0,Compact,21078.17293,gray,19278.72093
3697,9344,32,F,0.0,65,34652,1,1,Own,50021,9/25/2016,Sunday,Parking Lot,1,0.0,39,Broker,1,6115.262429,4.0,Medium,33766.692339999994,gray,19288.36276
302,742,34,M,1.0,58,35279,1,0,Own,80021,4/3/2016,Sunday,Local,0,0.0,86,Broker,0,8136.215212,6.0,Compact,9272.201642,black,11722.5481
5169,13016,32,M,1.0,73,34666,0,1,Own,15004,2/17/2015,Tuesday,Highway,0,1.0,20,Phone,0,5331.853583,7.0,Compact,12158.79873,blue,47725.92242
3863,9760,31,M,1.0,91,34336,1,0,Rent,15001,3/28/2015,Saturday,Local,0,0.0,12,Phone,1,2350.204038,4.0,Large,23083.19381,gray,14075.19629
2293,5739,45,F,1.0,45,38072,1,1,Own,80013,9/19/2015,Saturday,Highway,0,1.0,50,Broker,1,2844.95013,7.0,Large,14043.84549,red,27253.07339
5201,13093,52,M,1.0,88,39512,0,0,Rent,15001,2/28/2015,Saturday,Highway,0,0.0,34,Broker,0,7432.659586,6.0,Compact,33233.27935,red,32144.352260000003
10657,26653,70,M,1.0,74,42489,1,0,Own,20109,3/3/2016,Thursday,Local,0,0.0,44,Broker,0,9440.273516,7.0,Large,13905.79857,gray,72813.80969
2710,6782,40,F,1.0,99,36887,0,0,Rent,80012,1/7/2015,Wednesday,Highway,0,0.0,58,Broker,1,6497.509928,3.0,Compact,33569.65842,red,17185.71856
3186,8024,25,F,0.0,80,32175,1,0,Rent,15022,8/17/2016,Wednesday,Parking Lot,1,0.0,0,Phone,0,1894.785647,1.0,Large,9477.086066,gray,29529.81489
1878,4684,43,M,1.0,86,37617,1,0,Own,15032,8/16/2015,Sunday,Highway,0,0.0,65,Phone,1,5141.326417,3.0,Medium,23149.12639,gray,38575.64954
8865,22199,35,F,1.0,60,35546,1,1,Rent,50020,1/26/2016,Tuesday,Highway,0,0.0,27,Broker,1,3650.85342,7.0,Large,22966.76505,red,29920.36829
8751,21925,49,M,1.0,84,38930,1,1,Own,50039,8/25/2015,Tuesday,Local,3,0.0,3,Broker,1,5942.646286,4.0,Large,13837.72059,white,28265.99246
6771,16963,63,F,1.0,23,41427,1,0,Rent,20148,10/4/2016,Tuesday,Local,0,0.0,12,Broker,0,4000.647954,2.0,Medium,22975.93967,gray,10201.13616
10190,25506,50,F,1.0,89,39132,1,0,Own,80003,12/20/2015,Sunday,Parking Lot,0,0.0,50,Online,0,3227.537798,12.0,Large,9027.393401,silver,24848.88306
8241,20683,59,M,0.0,54,40792,0,0,Rent,20108,12/15/2016,Thursday,Highway,3,0.0,92,Broker,1,5827.764279,4.0,Compact,24562.87574,red,11770.48317
455,1163,43,M,1.0,90,37616,0,0,Own,85050,9/16/2015,Wednesday,Local,0,0.0,98,Broker,0,4673.058955,7.0,Large,44363.50934,gray,20504.55413
4204,10590,41,F,1.0,89,37142,1,1,Own,15001,4/3/2016,Sunday,Parking Lot,0,0.0,33,Phone,0,4385.316059000001,7.0,Compact,23599.34693,red,30270.41533
3547,8965,60,F,1.0,78,40939,1,1,Rent,15021,2/18/2016,Thursday,Local,0,1.0,89,Broker,0,4626.402481,9.0,Compact,11984.25902,gray,18855.67536
4366,11030,63,M,1.0,59,41437,1,0,Own,85008,2/3/2016,Wednesday,Parking Lot,0,1.0,84,Broker,0,5272.930012,3.0,Compact,24875.50663,silver,31053.058760000004
8729,21868,34,M,0.0,86,35255,1,1,Own,15001,11/3/2015,Tuesday,Local,1,0.0,41,Phone,1,6280.154772,6.0,Medium,33422.832780000004,other,22601.47346
7660,19258,43,M,1.0,87,37611,1,1,Rent,80047,12/21/2016,Wednesday,Local,0,1.0,59,Broker,0,10621.3362,10.0,Compact,38833.1547,silver,27310.07827
212,521,23,F,0.0,63,31345,1,1,Rent,15047,12/4/2015,Friday,Local,0,0.0,73,Phone,0,5984.304843999999,4.0,Large,25707.24161,silver,16029.7098
4132,10439,60,M,1.0,62,40943,1,1,Own,15018,3/31/2015,Tuesday,Parking Lot,2,0.0,74,Phone,1,2594.446415,1.0,Compact,23893.15798,silver,45792.93808
9182,23066,29,M,0.0,70,33668,1,0,Own,50012,7/26/2015,Sunday,Local,1,0.0,23,Online,1,1579.984938,4.0,Medium,11890.59583,gray,44043.322210000006
5545,13947,65,F,1.0,72,41739,1,1,Rent,85016,4/4/2016,Monday,Local,0,1.0,76,Broker,1,3952.903944,4.0,Large,22351.42139,other,7603.989020999999
6490,16265,29,M,1.0,72,33679,1,1,Rent,15010,3/2/2016,Wednesday,Local,0,1.0,0,Phone,0,7365.349625,2.0,Compact,32983.398460000004,black,32339.433610000004
11693,29205,39,M,1.0,85,36637,1,0,Rent,80046,12/19/2016,Monday,Local,0,1.0,26,Broker,0,4920.695554999999,5.0,Medium,31696.42969,black,27960.899380000003
9062,22707,30,F,0.0,66,34014,0,1,Own,50057,6/27/2016,Monday,Local,1,0.0,36,Broker,0,3342.506406,2.0,Compact,27246.44657,gray,30057.66049
2693,6729,26,M,1.0,84,32592,1,0,Rent,15010,1/4/2016,Monday,Local,0,1.0,24,Online,0,4368.738256000001,4.0,Compact,31198.32882,other,22550.7139
3656,9244,49,F,1.0,21,38925,1,1,Own,15025,2/17/2016,Wednesday,Local,0,0.0,77,Broker,0,6962.399194,4.0,Medium,18033.0335,blue,19563.81298
3884,9803,51,M,0.0,97,39308,0,1,Rent,80022,8/12/2016,Friday,Highway,0,0.0,25,Broker,1,8052.417765,4.0,Large,13659.55384,other,13922.695930000002
4741,11930,24,M,1.0,55,31770,1,0,Own,80016,3/8/2015,Sunday,Parking Lot,0,1.0,31,Online,1,4509.581608,5.0,Medium,49287.99089,red,9031.110861
3349,8463,31,F,0.0,84,34340,1,0,Rent,50043,3/26/2015,Thursday,Local,0,1.0,82,Online,0,6757.620849,4.0,Large,25558.01596,other,11128.90444
1168,2938,43,F,1.0,85,37614,0,0,Own,20109,8/22/2016,Monday,Parking Lot,2,0.0,91,Broker,1,1953.677924,8.0,Medium,14343.136380000002,white,46932.05823
5046,12678,57,M,1.0,59,40426,1,1,Own,15027,3/24/2015,Tuesday,Highway,0,0.0,99,Phone,0,2850.381495,2.0,Compact,16455.601319999998,other,15581.47463
2770,6918,32,F,1.0,93,34665,1,0,Rent,15025,8/7/2015,Friday,Local,0,0.0,82,Broker,0,2582.131793,6.0,Compact,15147.40049,blue,17496.66603
10271,25710,47,M,1.0,43,38515,0,1,Rent,15054,2/12/2016,Friday,Parking Lot,4,0.0,4,Broker,1,11152.40474,5.0,Large,16622.10711,silver,19414.20335
10331,25864,47,F,0.0,68,38503,0,1,Own,20159,1/27/2015,Tuesday,Parking Lot,0,0.0,100,Phone,0,1231.041624,3.0,Large,12801.34177,blue,54909.84217999999
203,499,38,F,1.0,72,36381,1,0,Rent,15025,5/30/2016,Monday,Parking Lot,0,0.0,56,Phone,1,2361.170033,6.0,Large,13844.87602,gray,33318.56541
10406,26048,50,F,1.0,76,39114,0,1,Rent,20118,11/18/2015,Wednesday,Local,0,1.0,100,Broker,0,5126.29821,3.0,Compact,13200.99722,white,34408.91048
3852,9744,43,F,0.0,63,37609,0,1,Own,80013,7/14/2015,Tuesday,Parking Lot,0,0.0,1,Broker,0,2884.157233,8.0,Medium,21653.18803,red,25294.25912
2356,5898,39,M,1.0,62,36622,1,0,Own,20160,8/23/2016,Tuesday,Highway,1,0.0,15,Broker,1,3718.285067,5.0,Compact,12427.19862,silver,37368.96382
6755,16916,57,F,1.0,31,40437,0,1,Rent,15027,2/4/2015,Wednesday,Local,0,0.0,98,Phone,0,3701.931859,5.0,Large,18819.23649,gray,22834.41105
7181,18015,41,M,1.0,90,37128,0,1,Own,50039,2/16/2015,Monday,Local,0,0.0,90,Online,0,11041.66629,5.0,Medium,13554.50412,blue,7576.762589
11218,27997,36,F,1.0,83,35841,1,1,Own,85066,5/2/2016,Monday,Local,1,1.0,27,Broker,0,4000.148675,3.0,Medium,7063.589728,black,60020.0069
1789,4477,68,M,1.0,96,42197,1,1,Own,50048,9/29/2015,Tuesday,Local,0,0.0,91,Online,0,1244.9400380000002,5.0,Medium,14803.93919,black,36463.909230000005
11878,29706,33,M,1.0,76,34985,1,0,Own,15030,10/11/2015,Sunday,Local,0,0.0,32,Broker,0,5289.009653,4.0,Compact,11155.59047,gray,20539.61336
885,2238,37,F,0.0,74,36119,0,0,Own,80022,3/9/2016,Wednesday,Local,0,0.0,88,Broker,1,3289.67897,9.0,Large,7144.273294,blue,44464.7429
2107,5239,64,M,1.0,73,41602,0,0,Own,50054,8/13/2015,Thursday,Highway,0,1.0,78,Broker,1,10062.24858,5.0,Compact,13232.94382,blue,8700.478454
252,631,51,M,1.0,93,39322,0,0,Own,80036,9/27/2015,Sunday,Parking Lot,0,0.0,0,Broker,0,6855.987948000001,3.0,Compact,26423.61995,black,23919.75993
2527,6296,31,M,1.0,84,34330,1,1,Own,50001,12/3/2015,Thursday,Local,0,0.0,0,Broker,0,2506.88024,5.0,Compact,23570.65581,black,14071.01132
5653,14222,25,F,1.0,66,32184,1,1,Rent,15057,5/21/2015,Thursday,Parking Lot,0,0.0,51,Online,1,7237.53942,1.0,Compact,23503.61911,silver,27460.45179
5234,13166,42,M,1.0,88,37354,1,1,Own,85004,6/27/2015,Saturday,Parking Lot,0,0.0,7,Broker,1,3741.945848,3.0,Large,15107.22226,blue,9581.935022
9176,23050,47,F,1.0,65,38504,0,1,Rent,80006,6/1/2016,Wednesday,Local,2,0.0,71,Broker,1,5493.83157,5.0,Medium,24843.39621,other,37341.22346
7605,19135,38,F,0.0,86,36385,1,0,Own,20120,12/30/2015,Wednesday,Highway,0,1.0,89,Broker,0,9279.681174,4.0,Medium,15543.57867,blue,5272.927524000001
10025,25097,51,F,1.0,83,39297,1,1,Own,85062,5/19/2015,Tuesday,Local,0,0.0,1,Broker,1,3980.47263,4.0,Large,10053.47226,white,16821.43543
2868,7214,41,M,1.0,85,37127,0,0,Rent,80012,1/6/2016,Wednesday,Highway,0,1.0,57,Broker,1,5204.721988,2.0,Compact,20154.89084,other,32654.36673
11130,27760,49,F,0.0,60,38916,1,0,Own,50047,8/2/2016,Tuesday,Parking Lot,0,0.0,17,Phone,1,4346.994898,3.0,Compact,11468.92952,white,26259.61273
1200,3020,49,M,1.0,93,38915,1,0,Rent,85002,10/11/2016,Tuesday,Parking Lot,0,0.0,77,Broker,1,5682.005793,5.0,Compact,47186.77934,silver,14917.0371
10151,25406,43,F,1.0,83,37618,1,1,Rent,20135,10/22/2016,Saturday,Highway,0,0.0,21,Broker,1,7534.384121999999,4.0,Medium,25128.03154,other,14023.35042
11020,27529,56,F,1.0,81,40262,1,1,Own,80022,12/15/2016,Thursday,Parking Lot,0,0.0,41,Broker,0,4424.550686,7.0,Compact,3186.921191,blue,24026.30643
8667,21727,41,M,1.0,41,37130,1,0,Own,20143,1/27/2016,Wednesday,Local,0,0.0,75,Phone,0,6850.216569,5.0,Medium,12930.92833,red,12593.03566
3712,9385,53,M,1.0,56,39709,1,0,Rent,85050,8/22/2015,Saturday,Parking Lot,0,0.0,32,Phone,1,3173.630143,3.0,Large,20587.50582,other,11025.4315
6099,15303,43,F,1.0,69,37613,1,1,Own,20106,1/13/2016,Wednesday,Local,0,0.0,82,Broker,1,5515.067289,7.0,Medium,18033.31736,red,32935.52724
10318,25828,61,F,1.0,54,41133,1,1,Own,15031,3/16/2015,Monday,Parking Lot,0,1.0,3,Broker,0,5432.669361,5.0,Medium,5641.580071,red,45922.700130000005
9631,24154,32,F,1.0,92,34671,0,1,Rent,20111,6/6/2015,Saturday,Local,0,1.0,25,Phone,0,3848.551205,8.0,Compact,7165.410998,gray,17349.04871
7865,19709,29,M,0.0,38,33674,1,1,Rent,15022,6/13/2016,Monday,Local,0,0.0,75,Online,0,5550.7380490000005,3.0,Compact,15485.09781,red,17345.65612
6159,15458,51,F,1.0,38,39316,1,0,Own,20102,11/9/2016,Wednesday,Parking Lot,1,1.0,94,Phone,0,3797.037071,7.0,Large,12180.96282,gray,30807.91369
5622,14153,45,M,1.0,55,38062,1,1,Own,15001,5/15/2016,Sunday,Highway,0,0.0,20,Phone,1,3323.807707,8.0,Medium,21647.08727,silver,3005.0700890000003
9256,23244,35,F,1.0,30,35546,1,0,Rent,15017,5/3/2015,Sunday,Highway,0,0.0,0,Broker,0,8837.650287,4.0,Medium,35502.27843,other,24889.37023
1402,3510,26,F,1.0,94,32575,1,0,Rent,50027,10/16/2015,Friday,Local,0,1.0,93,Phone,0,7566.328268000001,3.0,Large,21051.9724,other,15252.361680000002
3233,8123,68,M,0.0,66,42188,1,1,Own,15024,8/6/2015,Thursday,Parking Lot,0,0.0,34,Phone,0,4450.002811,5.0,Large,12063.81527,black,12782.35655
9442,23670,40,M,1.0,55,36888,1,0,Own,20101,2/3/2015,Tuesday,Local,0,0.0,71,Broker,0,4488.645889,4.0,Medium,25604.61437,black,34421.4812
3728,9415,33,M,1.0,74,34951,1,0,Own,85063,2/10/2015,Tuesday,Local,0,0.0,71,Phone,1,7783.736816,8.0,Compact,34876.53729,silver,11551.24662
6857,17196,46,F,1.0,73,38294,1,0,Own,15001,3/20/2016,Sunday,Parking Lot,0,1.0,76,Online,0,4766.377957,4.0,Medium,5017.92677,white,18631.69615
9730,24387,25,M,0.0,74,32164,1,1,Rent,20149,1/7/2015,Wednesday,Local,0,0.0,50,Online,0,5415.042301,4.0,Large,23580.45638,white,16286.42324
4750,11944,50,F,1.0,44,39112,0,0,Rent,15010,5/17/2016,Tuesday,Parking Lot,0,0.0,92,Online,0,1629.4474810000002,6.0,Compact,27179.6762,gray,20017.97817
367,923,58,F,1.0,80,40597,1,0,Own,80014,2/20/2016,Saturday,Local,0,1.0,28,Phone,1,11589.08094,4.0,Compact,17627.161519999998,blue,27152.64159
11414,28499,31,F,1.0,73,34339,0,1,Own,15018,10/4/2016,Tuesday,Parking Lot,1,0.0,97,Phone,1,4728.4983520000005,4.0,Large,30109.261130000003,blue,14889.292980000002
11499,28727,50,M,1.0,89,39118,0,1,Rent,20138,5/3/2015,Sunday,Local,1,1.0,100,Broker,1,8626.153984999999,7.0,Large,29234.6725,silver,14257.708319999998
5094,12816,45,F,1.0,38,38058,1,1,Own,15003,1/16/2015,Friday,Local,0,0.0,51,Broker,0,6306.338789,5.0,Compact,7160.966195,silver,11463.32975
815,2061,23,M,1.0,87,31365,1,1,Rent,85080,7/21/2016,Thursday,Highway,0,0.0,43,Online,1,1671.557417,4.0,Compact,30164.52056,blue,9885.253685
8354,20949,47,F,1.0,74,38507,1,1,Rent,80103,6/27/2016,Monday,Parking Lot,0,0.0,98,Broker,1,7582.411998999999,4.0,Medium,24875.51145,other,25483.38631
2703,6761,53,F,1.0,58,39713,1,0,Own,15012,10/26/2016,Wednesday,Local,0,0.0,1,Broker,1,10153.40876,6.0,Large,11263.16272,red,36377.42104
9445,23677,43,M,1.0,68,37619,1,1,Own,50041,2/17/2015,Tuesday,Highway,0,0.0,1,Broker,0,10882.75282,5.0,Large,17943.762069999997,other,11623.34135
10930,27316,35,F,1.0,83,35551,1,1,Rent,80107,4/12/2015,Sunday,Local,0,1.0,50,Broker,1,4626.287995000001,2.0,Large,32960.25575,gray,9768.060253
8640,21654,64,F,1.0,63,41580,1,1,Own,20116,2/19/2016,Friday,Local,0,0.0,1,Online,1,2781.487188,2.0,Compact,63607.33886,black,29121.64899
3609,9100,36,M,1.0,71,35849,0,1,Rent,85027,9/11/2016,Sunday,Highway,0,0.0,86,Broker,0,2416.742732,6.0,Large,23369.84267,white,19502.5401
8275,20768,44,M,1.0,93,37852,1,1,Own,15052,7/11/2016,Monday,Parking Lot,0,0.0,99,Broker,0,5155.862083,5.0,Medium,15870.58,blue,14531.1044
1676,4189,28,M,0.0,81,33320,0,1,Rent,20152,4/19/2016,Tuesday,Local,0,0.0,0,Online,1,5028.075992,3.0,Compact,19739.629,blue,67422.1702
11805,29501,37,M,0.0,72,36101,1,1,Rent,15012,1/20/2015,Tuesday,Highway,0,0.0,89,Broker,0,7521.454998,4.0,Large,21809.08556,other,14613.982569999998
2725,6812,30,F,1.0,46,34003,1,1,Own,85029,8/8/2015,Saturday,Parking Lot,0,0.0,10,Broker,0,9300.163215,6.0,Large,49996.801080000005,other,27676.2811
9340,23447,29,M,1.0,84,33664,1,1,Rent,80021,3/21/2015,Saturday,Parking Lot,0,0.0,96,Online,1,3080.907959,10.0,Large,40176.01383,other,19111.89319
494,1255,32,M,1.0,88,34653,1,1,Own,20129,12/14/2015,Monday,Local,1,0.0,50,Phone,1,2331.79155,4.0,Compact,14978.99552,gray,29557.6197
647,1672,86,F,1.0,69,44560,1,0,Own,15009,7/13/2016,Wednesday,Highway,0,0.0,50,Broker,0,8605.505651000001,3.0,Compact,20567.50707,red,17461.74095
10591,26497,60,F,1.0,87,40952,1,1,Own,15003,7/26/2016,Tuesday,Local,0,0.0,83,Broker,1,4045.40762,2.0,Compact,50701.57545,black,18924.85909
9165,23014,26,F,0.0,80,32561,1,1,Rent,85020,10/26/2015,Monday,Highway,0,1.0,58,Broker,1,6023.942406,10.0,Large,29302.72665,white,16125.66864
11827,29567,36,M,1.0,43,35840,1,1,Rent,50021,2/12/2016,Friday,Local,0,1.0,99,Phone,0,10697.96654,3.0,Large,22640.16316,white,31088.17557
5321,13390,38,M,1.0,55,36375,0,1,Rent,85046,8/21/2015,Friday,Local,0,0.0,85,Broker,0,8002.298024,3.0,Compact,16720.58233,red,6997.036212000001
5272,13268,23,M,1.0,74,31349,1,0,Own,50011,11/22/2016,Tuesday,Highway,2,1.0,74,Online,1,3170.5425010000004,4.0,Compact,10932.97727,red,24155.97503
1310,3277,30,M,1.0,75,34026,0,1,Own,80016,10/6/2016,Thursday,Local,0,0.0,23,Online,0,12512.12831,4.0,Large,12508.62463,blue,68517.15291
3496,8829,60,M,1.0,86,40961,1,0,Own,80002,3/25/2015,Wednesday,Highway,0,0.0,77,Phone,0,4076.777707,4.0,Large,15847.291630000002,gray,36892.92952
9418,23610,40,M,1.0,75,36893,1,1,Rent,80041,6/8/2016,Wednesday,Parking Lot,1,0.0,48,Phone,1,5508.762359,3.0,Medium,21490.00426,silver,44658.20395
11341,28317,48,F,0.0,56,38715,1,0,Rent,50051,7/2/2015,Thursday,Local,1,0.0,51,Broker,0,3580.98973,3.0,Large,8485.951648999999,black,12685.16451
2375,5944,37,F,1.0,77,36115,1,1,Own,20155,9/22/2015,Tuesday,Parking Lot,1,0.0,5,Broker,1,5927.341325,6.0,Compact,59212.46599,blue,20195.20851
9706,24329,45,M,1.0,83,38070,0,0,Own,50047,12/26/2016,Monday,Local,1,0.0,0,Broker,1,2637.891972,2.0,Medium,24312.8172,red,7278.960133
2872,7228,42,F,1.0,89,37371,1,1,Own,80021,1/7/2015,Wednesday,Local,0,0.0,4,Phone,1,3863.653305,7.0,Medium,16429.90935,red,26501.672280000003
5120,12867,54,F,0.0,88,39882,0,1,Rent,85060,7/31/2015,Friday,Local,0,0.0,7,Broker,0,547.0291687000001,3.0,Large,8618.9934,white,22515.40246
7004,17576,28,M,1.0,51,33333,1,1,Own,80011,10/20/2016,Thursday,Parking Lot,0,1.0,6,Online,1,5461.319101,4.0,Large,36596.76289,blue,37019.76659
7708,19362,41,M,1.0,97,37159,1,1,Own,85035,12/15/2015,Tuesday,Parking Lot,0,0.0,73,Phone,0,2288.61232,7.0,Medium,13168.79434,black,41095.92702
8238,20672,36,M,1.0,80,35845,1,0,Own,15012,4/8/2015,Wednesday,Local,0,0.0,19,Phone,0,5163.365647,2.0,Medium,12268.42787,other,27811.03439
6894,17290,49,F,1.0,51,38937,1,0,Own,50001,10/20/2016,Thursday,Parking Lot,0,0.0,26,Broker,1,4770.84382,5.0,Compact,19838.81456,blue,33318.06019
